id,n_class,ADWINBagging,ARF,AdaBoost,DDM-HT,EFHT,HT,OneVsAll-CIDDM,OneVsAll-DDM,OneVsAll-GT,OneVsAll-NC,SRP
1_to_3_gradual_global_change.csv,6,,0.6812289944198249,,0.5375237147080236,,0.5003030026240423,0.6186864150505811,0.6186864150505811,0.611311034918232,0.6186864150505811,
1_to_3_sudden_global_change.csv,6,,0.6812289944198249,,0.5375237147080236,,0.5003030026240423,0.6186864150505811,0.6186864150505811,0.611311034918232,0.6186864150505811,
1_to_6_gradual_global_change.csv,6,,0.6812289944198249,,0.5375237147080236,,0.5003030026240423,0.6186864150505811,0.6186864150505811,0.611311034918232,0.6186864150505811,
1_to_6_sudden_global_change.csv,6,,0.6812289944198249,,0.5375237147080236,,0.5003030026240423,0.6186864150505811,0.6186864150505811,0.611311034918232,0.6186864150505811,
6_to_2_gradual_global_change.csv,6,,0.6443344551150051,,0.45623255578028793,,0.4660265229027297,0.580222792285749,0.5956531314928155,0.5757167281603219,0.580222792285749,
6_to_2_sudden_global_change.csv,6,,0.6443344551150051,,0.46419246724311214,,0.4660265229027297,0.580222792285749,0.5956531314928155,0.5757167281603219,0.580222792285749,
6_to_3_gradual_global_change.csv,6,,0.6443344551150051,,0.46266886263174783,,0.4660265229027297,0.580222792285749,0.5956531314928155,0.5757167281603219,0.580222792285749,
6_to_3_sudden_global_change.csv,6,,0.6443344551150051,,0.4817715828413775,,0.4660265229027297,0.580222792285749,0.5956531314928155,0.5757167281603219,0.580222792285749,
semi_synth_1_to_3_gradual.csv,6,0.5842255928504281,0.6778522443316857,0.5660447396504161,0.5459244770578434,0.5629319807659968,0.5003030026240423,0.6186864150505811,0.6186864150505811,0.611311034918232,0.6186864150505811,0.6762629331856497
semi_synth_1_to_3_sudden.csv,6,0.5781741578722973,0.6725166807467335,0.5749920455682261,0.5513322290461171,0.5629319807659968,0.5003030026240423,0.6186864150505811,0.6186864150505811,0.611311034918232,0.6186864150505811,0.6869810430562054
semi_synth_1_to_6_gradual.csv,6,0.5842255928504281,0.6778522443316857,0.5660447396504161,0.5459244770578434,0.5629319807659968,0.5003030026240423,0.6186864150505811,0.6186864150505811,0.611311034918232,0.6186864150505811,0.6762629331856497
semi_synth_1_to_6_sudden.csv,6,0.5842255928504281,0.6778522443316857,0.5660447396504161,0.5459244770578434,0.5629319807659968,0.5003030026240423,0.6186864150505811,0.6186864150505811,0.611311034918232,0.6186864150505811,0.6762629331856497
semi_synth_6_to_2_gradual.csv,6,,0.6505080179549847,,0.4894744715812916,,0.4660265229027297,0.580222792285749,0.5956531314928155,0.5757167281603219,0.580222792285749,
semi_synth_6_to_2_sudden.csv,6,,0.6466027909127245,,0.4300185844194757,0.46371758503911736,0.4660265229027297,0.580222792285749,0.5956531314928155,0.5757167281603219,0.580222792285749,
semi_synth_6_to_3_gradual.csv,6,0.5167117320678585,0.6441880274146305,0.5320928259191438,0.4830331442463233,0.46371758503911736,0.4660265229027297,0.580222792285749,0.5956531314928155,0.5757167281603219,0.580222792285749,0.6435422929469133
semi_synth_6_to_3_sudden.csv,6,0.5167117320678585,0.6441880274146305,0.5320928259191438,0.4830331442463233,0.46371758503911736,0.4660265229027297,0.580222792285749,0.5956531314928155,0.5757167281603219,0.580222792285749,0.6435422929469133
