id,n_class,ADWINBagging,ARF,AdaBoost,DDM-HT,EFHT,HT,OneVsAll-CIDDM,OneVsAll-DDM,OneVsAll-GT,OneVsAll-NC,SRP
1_to_3_gradual_global_change.csv,6,,0.673696552222712,,0.7816396104595271,,0.8052875314782783,0.6310933410235098,0.6310933410235098,0.6365248262158327,0.6310933410235098,
1_to_3_sudden_global_change.csv,6,,0.673696552222712,,0.7816396104595271,,0.8052875314782783,0.6310933410235098,0.6310933410235098,0.6365248262158327,0.6310933410235098,
1_to_6_gradual_global_change.csv,6,,0.673696552222712,,0.7816396104595271,,0.8052875314782783,0.6310933410235098,0.6310933410235098,0.6365248262158327,0.6310933410235098,
1_to_6_sudden_global_change.csv,6,,0.673696552222712,,0.7816396104595271,,0.8052875314782783,0.6310933410235098,0.6310933410235098,0.6365248262158327,0.6310933410235098,
6_to_2_gradual_global_change.csv,6,,0.3166291321666478,,0.13030138322940207,,0.11672613808141148,0.33442047782064327,0.36985217329210013,0.3607049000858006,0.33442047782064327,
6_to_2_sudden_global_change.csv,6,,0.3166291321666478,,0.12161833570331455,,0.11672613808141148,0.33442047782064327,0.36985217329210013,0.3607049000858006,0.33442047782064327,
6_to_3_gradual_global_change.csv,6,,0.3166291321666478,,0.10334795537220513,,0.11672613808141148,0.33442047782064327,0.36985217329210013,0.3607049000858006,0.33442047782064327,
6_to_3_sudden_global_change.csv,6,,0.3166291321666478,,0.123007003053776,,0.11672613808141148,0.33442047782064327,0.36985217329210013,0.3607049000858006,0.33442047782064327,
semi_synth_1_to_3_gradual.csv,6,0.7792944221151266,0.679462912002616,0.7118667509465478,0.7660604990984011,0.6695128345135988,0.8052875314782783,0.6310933410235098,0.6310933410235098,0.6365248262158327,0.6310933410235098,0.7033911343850812
semi_synth_1_to_3_sudden.csv,6,0.7776183361752312,0.6677531362609623,0.7227630031473261,0.7717909411327948,0.6695128345135988,0.8052875314782783,0.6310933410235098,0.6310933410235098,0.6365248262158327,0.6310933410235098,0.6815453781111371
semi_synth_1_to_6_gradual.csv,6,0.7792944221151266,0.679462912002616,0.7118667509465478,0.7660604990984011,0.6695128345135988,0.8052875314782783,0.6310933410235098,0.6310933410235098,0.6365248262158327,0.6310933410235098,0.7033911343850812
semi_synth_1_to_6_sudden.csv,6,0.7792944221151266,0.679462912002616,0.7118667509465478,0.7660604990984011,0.6695128345135988,0.8052875314782783,0.6310933410235098,0.6310933410235098,0.6365248262158327,0.6310933410235098,0.7033911343850812
semi_synth_6_to_2_gradual.csv,6,,0.32566478843284996,,0.13198717510047112,,0.11672613808141148,0.33442047782064327,0.36985217329210013,0.3607049000858006,0.33442047782064327,
semi_synth_6_to_2_sudden.csv,6,,0.314539166387776,,0.14814553245056905,0.22294663367893097,0.11672613808141148,0.33442047782064327,0.36985217329210013,0.3607049000858006,0.33442047782064327,
semi_synth_6_to_3_gradual.csv,6,0.1282712608590927,0.3198472986224398,0.1904392163604446,0.11738238377540196,0.22294663367893097,0.11672613808141148,0.33442047782064327,0.36985217329210013,0.3607049000858006,0.33442047782064327,0.3055821337800149
semi_synth_6_to_3_sudden.csv,6,0.1282712608590927,0.3198472986224398,0.1904392163604446,0.11738238377540196,0.22294663367893097,0.11672613808141148,0.33442047782064327,0.36985217329210013,0.3607049000858006,0.33442047782064327,0.3055821337800149
