id,n_class,ADWINBagging,ARF,AdaBoost,DDM-HT,EFHT,HT,OneVsAll-CIDDM,OneVsAll-DDM,OneVsAll-GT,OneVsAll-NC,SRP
1_to_3_gradual_global_change.csv,6,,0.6720219471357803,,0.7652987751283381,,0.838030252918883,0.6203731086864015,0.6203731086864015,0.7129171320002932,0.6203731086864015,
1_to_3_sudden_global_change.csv,6,,0.6720219471357803,,0.7652987751283381,,0.838030252918883,0.6203731086864015,0.6203731086864015,0.7129171320002932,0.6203731086864015,
1_to_6_gradual_global_change.csv,6,,0.6720219471357803,,0.7652987751283381,,0.838030252918883,0.6203731086864015,0.6203731086864015,0.7129171320002932,0.6203731086864015,
1_to_6_sudden_global_change.csv,6,,0.6720219471357803,,0.7652987751283381,,0.838030252918883,0.6203731086864015,0.6203731086864015,0.7129171320002932,0.6203731086864015,
6_to_2_gradual_global_change.csv,6,,0.3425738649449662,,0.1358353007310126,,0.06212916258020631,0.35044351766026977,0.40262189920565983,0.46647552973206574,0.35044351766026977,
6_to_2_sudden_global_change.csv,6,,0.3425738649449662,,0.08048096523046404,,0.06212916258020631,0.35044351766026977,0.40262189920565983,0.46647552973206574,0.35044351766026977,
6_to_3_gradual_global_change.csv,6,,0.3425738649449662,,0.08133467479612409,,0.06212916258020631,0.35044351766026977,0.40262189920565983,0.46647552973206574,0.35044351766026977,
6_to_3_sudden_global_change.csv,6,,0.3425738649449662,,0.15372389686654964,,0.06212916258020631,0.35044351766026977,0.40262189920565983,0.46647552973206574,0.35044351766026977,
semi_synth_1_to_3_gradual.csv,6,0.7964861914222803,0.6872987559508311,0.7712879032688097,0.7664003684436085,0.7454159086582376,0.838030252918883,0.6203731086864015,0.6203731086864015,0.7129171320002932,0.6203731086864015,0.6998182240038452
semi_synth_1_to_3_sudden.csv,6,0.7881705416785517,0.6795532716358588,0.7452172652114083,0.7666595229489626,0.7454159086582376,0.838030252918883,0.6203731086864015,0.6203731086864015,0.7129171320002932,0.6203731086864015,0.6909884796963952
semi_synth_1_to_6_gradual.csv,6,0.7964861914222803,0.6872987559508311,0.7712879032688097,0.7664003684436085,0.7454159086582376,0.838030252918883,0.6203731086864015,0.6203731086864015,0.7129171320002932,0.6203731086864015,0.6998182240038452
semi_synth_1_to_6_sudden.csv,6,0.7964861914222803,0.6872987559508311,0.7712879032688097,0.7664003684436085,0.7454159086582376,0.838030252918883,0.6203731086864015,0.6203731086864015,0.7129171320002932,0.6203731086864015,0.6998182240038452
semi_synth_6_to_2_gradual.csv,6,,0.3502284021394658,,0.11609076567199442,,0.06212916258020631,0.35044351766026977,0.40262189920565983,0.46647552973206574,0.35044351766026977,
semi_synth_6_to_2_sudden.csv,6,,0.3342013243116794,,0.08925954045061771,0.27521709068873884,0.06212916258020631,0.35044351766026977,0.40262189920565983,0.46647552973206574,0.35044351766026977,
semi_synth_6_to_3_gradual.csv,6,0.13123282482806276,0.36112649060925056,0.1695418995004488,0.12759718735562964,0.27521709068873884,0.06212916258020631,0.35044351766026977,0.40262189920565983,0.46647552973206574,0.35044351766026977,0.3373334299176016
semi_synth_6_to_3_sudden.csv,6,0.13123282482806276,0.36112649060925056,0.1695418995004488,0.12759718735562964,0.27521709068873884,0.06212916258020631,0.35044351766026977,0.40262189920565983,0.46647552973206574,0.35044351766026977,0.3373334299176016
