id,n_class,ARF,EFHT,HT,OneVsAll_CIDDM,OneVsAll_Dummy,OneVsAll_swap,SRP
swap_cluster_global_gradual,10,0.5703833977001185,0.7720634980674914,0.5561188707903626,0.9055334808352721,0.925941015141252,0.7637867199485163,0.7488900788584483
swap_cluster_global_gradual,15,0.41012725583062176,0.7311193918074939,0.5372354348767924,0.8314401450341969,0.8848601497764059,0.6601649845031069,0.39680355717360216
swap_cluster_global_gradual,5,0.8976032397254083,0.9015129540939125,0.7797787319713457,0.8904836417999589,0.8808214558205267,0.8108525945248977,0.9558160232707961
swap_cluster_global_sudden,10,0.5849033477133394,0.8255891290865744,0.6378266388838034,0.9136194330648544,0.9462187195922318,0.7611342045621061,0.7440941571191337
swap_cluster_global_sudden,15,0.41983693129135763,0.7628251167464505,0.5552147636550352,0.8379510157952715,0.8880765208251145,0.6744055214519935,0.42428780758206763
swap_cluster_global_sudden,5,0.9219665415593367,0.935622260103837,0.7092986121826931,0.9629866979616836,0.8938637151519343,0.8865064451736604,0.9856121449788393
swap_cluster_local_gradual,10,0.5774570039289472,0.8876582714592964,0.8177546478688756,0.9131728242445575,0.9323846150293497,0.8618445591281964,0.7736657474312542
swap_cluster_local_gradual,15,0.5150519970035109,0.7359399139426491,0.801732823070977,0.8815719518365187,0.8808561828357723,0.8341322704390206,0.5343963533722431
swap_cluster_local_gradual,5,0.9185354427777062,0.9441012617006077,0.7961758045223041,0.9538729212956442,0.940436322124767,0.8941212080237619,0.9743290660832256
swap_cluster_local_sudden,10,0.6178048808208428,0.8957607880730443,0.8188848334855139,0.9305700211434942,0.9301685812839579,0.8857288225551099,0.7920536128867904
swap_cluster_local_sudden,15,0.5261585477056212,0.7315443388011201,0.8045157782193652,0.8878450412537011,0.9000306691991307,0.8513867303789333,0.5420702668845503
swap_cluster_local_sudden,5,0.9280111815138102,0.9662253775964166,0.8510508169423817,0.9548687965009481,0.9600424014409693,0.8946762295704791,0.9887199357179851
