id,n_class,ADWINBagging,ARF,AdaBoost,Bagging-CIDDM,Bagging-GT,DDM-HT,EFHT,HT,LB,OneVsAll-CIDDM,OneVsAll-DDM,OneVsAll-GT,OneVsAll-NC,SRP
swap_cluster_global_gradual,10,0.4524432538625296,0.6093539133039252,0.9478944441849597,0.961103929620701,0.9738615812202629,0.8605932683924603,0.9185319270089575,0.8267585212087694,0.9598199873497189,0.9414529165606967,0.8773340966613055,0.9516987719021431,0.8973931762771503,0.7794084872888409
swap_cluster_global_gradual,15,0.22045016988066576,0.39154273146405577,0.8322908040761721,0.9351177599076477,0.9599963251965771,0.7667700768672301,0.8014774179733805,0.6391779599298528,0.9391226272947676,0.8830089251562963,0.848058960171207,0.9184003286692577,0.847527978630903,0.36188584220731773
swap_cluster_global_gradual,5,0.6028572649038315,0.8901590510056056,0.9603180781434144,0.9668618949833168,0.9587601487453538,0.8902945104218472,0.942813805253435,0.8766544455475928,0.9727420499739649,0.9521116868961342,0.944467653173105,0.9459307530418097,0.9009408408586012,0.9727139903595041
swap_cluster_global_sudden,10,0.4413006377366203,0.6033143603178809,0.9297349482250303,0.942290608556886,0.9700141958952662,0.8164963064495312,0.9281057649546247,0.8051787565337044,0.9665289511412608,0.9322114095943302,0.8832645766043645,0.9490341541655344,0.8947387360691674,0.7897644860118401
swap_cluster_global_sudden,15,0.18948775849876182,0.4024217171582795,0.8311028010231196,0.9027668713495257,0.9526092530158893,0.7391979534046222,0.801968691549907,0.619303765035561,0.9137403838902305,0.8644201567226847,0.8537822799243496,0.9077104029086135,0.8537822799243496,0.37539555087768434
swap_cluster_global_sudden,5,0.6003806507994544,0.9265211541234066,0.9676551729569389,0.9671264418069787,0.9657607300824436,0.8882794460015175,0.9572912507704067,0.8436906210745804,0.9894432858605291,0.9673626770407189,0.9505725892385454,0.9532493664373228,0.9366478688921471,0.9821109169507182
swap_cluster_local_gradual,10,0.4569948081827816,0.6377827859330396,0.951961640493951,0.9747209007141144,0.980022575553495,0.8701960022007704,0.9464922428209803,0.8725419836238955,0.9757582259501518,0.9525926355804782,0.9340889765725805,0.9559173089829108,0.9398623009427975,0.8045234482168846
swap_cluster_local_gradual,15,0.190244183417672,0.407773702697926,0.8427405362475399,0.9641784631727408,0.9665607395324075,0.819570429274167,0.7916954674134709,0.7223154899606874,0.9624409696950934,0.9137930462991172,0.9072905788958164,0.9207354075134414,0.9072905788958164,0.35838002581197054
swap_cluster_local_gradual,5,0.5974641203791368,0.9179056115855194,0.9689278979362417,0.9813005079136491,0.9831798436015647,0.9198136340163009,0.9657666180908726,0.9113836928715117,0.9843655996971753,0.9696260474231592,0.949051059727371,0.9704457808432728,0.9395983000746849,0.9853821115089819
swap_cluster_local_sudden,10,0.45176406596291546,0.635476930853416,0.956018221969293,0.9749924792045795,0.9806431088436844,0.8829244844065507,0.9472379124376548,0.8724491275054393,0.9844806086981172,0.9543506410196088,0.9381871989777817,0.9601055483897016,0.9402245278582736,0.8174978784480399
swap_cluster_local_sudden,15,0.17987436261222517,0.40550807345065115,0.8543429579717616,0.9627337845383084,0.9672217086155265,0.7892598609692186,0.7915888163307322,0.72237719608596,0.9638211936038605,0.9174851573499783,0.9101982582319338,0.9221592188821517,0.9101982582319338,0.36947368883023257
swap_cluster_local_sudden,5,0.5971906174928218,0.9274702556118498,0.9745304147844022,0.9867338869162615,0.98706986842591,0.9320659285566794,0.9721802382723288,0.9215108498492778,0.9921268160266751,0.9779586132690145,0.9478948953656541,0.9725807629966668,0.9459986836464618,0.981131344138735
