id,n_class,ADWINBagging,ARF,AdaBoost,Bagging-CIDDM,Bagging-GT,DDM-HT,EFHT,HT,LB,OneVsAll-CIDDM,OneVsAll-DDM,OneVsAll-GT,OneVsAll-NC,SRP
swap_cluster_global_gradual,10,0.43690878120754023,0.5855006299089083,0.949957998069942,0.9717583102471405,0.9772134109947136,0.8679501133783899,0.9263089725432944,0.8392389084165139,0.9667517123313952,0.9527248644281466,0.8867190432500107,0.9584322790771943,0.914853160236802,0.765722198659737
swap_cluster_global_gradual,15,0.31527748326293764,0.403675298268309,0.8648951427422484,0.9604475410623163,0.9681578650603013,0.7855650644578938,0.8143346984983366,0.7013502972537664,0.9544707342393445,0.9150518795427267,0.8818147362900821,0.9292969362584854,0.9013636846460829,0.370995792479519
swap_cluster_global_gradual,5,0.5130312660212243,0.8679416675918857,0.9535040162486446,0.9661208304143444,0.9596141534786647,0.8695129439512856,0.9370839751379346,0.8649673516430273,0.9701846491553636,0.9509580833744667,0.9385633771477292,0.9443174073767037,0.8980263181769221,0.9680603902619067
swap_cluster_global_sudden,10,0.42219872339494935,0.5773979434240805,0.9468431048880154,0.9743791231643985,0.9810729934081549,0.8245416999726295,0.9384391988340386,0.8290391119491277,0.975411329933276,0.9504477958902429,0.8961116564935269,0.9613603443550498,0.9179216427708373,0.7746700860865298
swap_cluster_global_sudden,15,0.308059487299571,0.407550358008972,0.8697115047495835,0.9616482363794355,0.9721320764750853,0.8014808169644783,0.8172770428816725,0.704946393216672,0.9548253651652967,0.9177289873238011,0.9044535538602103,0.9316065952212668,0.9044535538602103,0.374281087535216
swap_cluster_global_sudden,5,0.5091442666989702,0.910576161554839,0.9637984802179895,0.9753818650397281,0.9727940169136032,0.8674774779427883,0.9522478767721688,0.8424797623676443,0.9907339379899954,0.9683833066668514,0.9470781717347024,0.9523623914055093,0.9343538173893463,0.9784204028125618
swap_cluster_local_gradual,10,0.430589588556903,0.6144949605722514,0.9504204421215435,0.9756037104833952,0.9805163349253843,0.8678470400228185,0.9444875458311198,0.8691344022475491,0.9756803807864627,0.9562985727641854,0.9384227641480206,0.9596958515596342,0.943334550194869,0.7904122091168493
swap_cluster_local_gradual,15,0.29975115596191043,0.4140587786751252,0.8570206927326566,0.9689193589016881,0.9712225679995685,0.8261258230991624,0.7996273997129427,0.7328797995539779,0.9684273461859351,0.926596381244675,0.9182500397931993,0.9295385762686222,0.9182500397931993,0.3663327900581839
swap_cluster_local_gradual,5,0.5118988837604365,0.9005477699487225,0.9627566435899015,0.9785275573161226,0.9804321516304096,0.9038286221327418,0.9594320497784354,0.8964295834975137,0.9815742921709132,0.9642511947633513,0.9449771382047067,0.9649400022381684,0.9312020394143644,0.9824104517116475
swap_cluster_local_sudden,10,0.4277767050109166,0.6112926041138471,0.9546988630010175,0.9768333438536901,0.9813651257157321,0.8841248771675494,0.945073167306978,0.8695537942465217,0.9846127700782644,0.9584749419924011,0.9414224654477438,0.9638709067059027,0.9439601652509271,0.8038648211443499
swap_cluster_local_sudden,15,0.3022242159905806,0.4117863370012732,0.8573883167940101,0.9688642400591055,0.9718963245059453,0.8090264860588686,0.8000134024387147,0.7332101942533272,0.969900954935217,0.9282308189099729,0.9207179056452975,0.9306313829330827,0.9207179056452975,0.3726218853143279
swap_cluster_local_sudden,5,0.5116382685865593,0.9120857690305362,0.9692151555249687,0.9849417000111631,0.9850742583753466,0.9181880478014898,0.9665003934878273,0.9078656716634471,0.9908631189649473,0.9741529536552337,0.9427215315834828,0.9677489089841042,0.9396091462236537,0.9771358391216696
