id,n_class,ADWINBagging,ARF,AdaBoost,Bagging-CIDDM,Bagging-GT,DDM-HT,EFHT,HT,LB,OneVsAll-CIDDM,OneVsAll-DDM,OneVsAll-GT,OneVsAll-NC,SRP
swap_cluster_global_gradual,10,2934.407366991043,1724.0681359767914,2253.4295194149017,3875.483471632004,3623.994674444199,686.6763360500336,2499.4462044239044,280.32821702957153,3917.792037248612,728.170814037323,847.1357197761536,742.2647371292114,654.2569344043732,6745.196437358856
swap_cluster_global_gradual,15,3923.054804086685,2194.539762020111,3390.1763429641724,5654.806731939316,5435.092524051666,850.4456558227539,3204.6881732940674,311.3910367488861,5625.686988115311,878.5074298381805,1034.3233485221865,846.859194278717,827.0090100765228,8732.167763710022
swap_cluster_global_gradual,5,1548.5746703147888,1140.0885350704193,1053.7664573192596,2067.2926127910614,1851.3882167339325,380.15830302238464,1262.798484325409,150.33631563186646,2704.8911533355717,380.9998598098755,402.8070302009583,349.5282452106476,355.1412160396576,3615.9761533737183
swap_cluster_global_sudden,10,2771.960309505462,1637.3829848766327,2044.294284105301,3842.8230493068695,3569.386786699295,621.1772615909576,2420.5850915908813,225.20940852165225,3800.589898347855,632.4259476661682,715.649082660675,582.9699490070343,578.81556224823,6181.861664056778
swap_cluster_global_sudden,15,4207.730409145355,2774.915714263916,3570.85671043396,5948.131531953812,5454.412576675415,972.8578472137452,3679.9258890151978,344.6651909351349,6586.752044439316,887.3550596237183,1007.5634462833405,852.1065027713776,815.0075087547302,9544.128730535507
swap_cluster_global_sudden,5,1526.786785364151,1133.228598833084,1017.5641403198242,2112.447268724441,1849.1462979316711,361.6663250923157,1208.9410405158997,150.987731218338,5380.932197093964,1122.5267198085785,401.7454051971436,344.2634828090668,325.0055878162384,6252.022023677826
swap_cluster_local_gradual,10,2730.1448979377747,1648.3181009292605,1970.7556595802307,3899.037627220154,3597.1441826820374,565.7486023902893,2425.2642426490784,215.6795389652252,3679.116847753525,624.3962724208832,716.9545986652374,592.1997938156128,557.7236597537994,6229.922495365143
swap_cluster_local_gradual,15,3907.7430307865134,2260.277129173279,3332.941551208496,5752.465118169785,5367.919014453888,822.2451083660126,2954.230857849121,305.3168110847473,5706.326535701752,887.0220046043396,1023.715567111969,863.5462205410004,810.5188798904419,8861.953830242157
swap_cluster_local_gradual,5,1571.351123571396,1133.424080133438,1000.1934423446656,2043.5728516578677,1826.9344692230225,361.6028769016266,1099.4385390281675,157.40440559387207,2669.3490660190582,377.9148807525635,397.806170463562,348.79209899902344,324.184898853302,3581.8917832374573
swap_cluster_local_sudden,10,2743.462441921234,1647.9260630607605,1953.8165879249573,3828.217840909958,3552.50740814209,563.8634588718414,2393.7492096424103,220.1386902332306,3610.534930706024,629.5133640766144,718.2702956199646,588.9029579162598,561.5575687885284,6170.428385019302
swap_cluster_local_sudden,15,3953.6975317001343,2258.054281949997,3253.2458107471466,5704.470632553101,5428.596611499786,819.9439399242401,3042.504454135895,308.9987654685974,5580.1623158454895,875.460729598999,999.1971881389618,850.6618976593018,836.9556908607483,8757.51652097702
swap_cluster_local_sudden,5,1544.2027399539948,1140.767225980759,987.6766045093536,2058.433416604996,1895.734964609146,350.1367862224579,1154.6939985752106,152.79467177391052,2634.3165998458862,373.6787424087525,406.3513035774231,345.5602226257324,331.57657074928284,3572.6417429447174
