id,n_class,ARF,EFHT,HT,OneVsAll_CIDDM,OneVsAll_Dummy,OneVsAll_swap,SRP
swap_cluster_global_gradual,10,0.6390670193929703,0.9337704823336863,0.8555376913449503,0.9572468260911424,0.9605409437382012,0.923474610822056,0.7957869912641639
swap_cluster_global_gradual,15,0.45072001372953646,0.8269329471203553,0.7216388294732965,0.9238043122464954,0.9325402321463703,0.9080771532978096,0.4199490081665627
swap_cluster_global_gradual,5,0.9143872733893956,0.9497244130413852,0.8921724731164792,0.9585728900255754,0.9529558687489798,0.9185528649942863,0.9737279877438771
swap_cluster_global_sudden,10,0.6333718737050075,0.9446615962260517,0.8463862520458265,0.9544908811599785,0.9658150363539708,0.9262255494953977,0.7936978246219144
swap_cluster_global_sudden,15,0.44819927919933367,0.8296713701491413,0.7249855128274894,0.9238819092427406,0.9317842872152062,0.9109532484167081,0.42991396436180673
swap_cluster_global_sudden,5,0.9218032657879206,0.9618195319400086,0.8742125231790574,0.9757293355825216,0.9608682592370897,0.9475340915274527,0.9858894688594858
swap_cluster_local_gradual,10,0.6348920096609056,0.9500958890921345,0.882396264561471,0.9599827459910173,0.9644758623865115,0.9490490789071624,0.8004367332074792
swap_cluster_local_gradual,15,0.44971363033222966,0.8132158006873139,0.7510305691478898,0.933526464937359,0.9336591307696493,0.9238043122464954,0.4178172046161381
swap_cluster_local_gradual,5,0.9181628122109159,0.9675592065332501,0.9172888686108471,0.972602927572509,0.9723976710017956,0.9450359688741361,0.9814088681085469
swap_cluster_local_sudden,10,0.6619512099154043,0.9506190430345623,0.8827717338981419,0.9624608436130447,0.9647011439885141,0.9496097797832576,0.8079621265712577
swap_cluster_local_sudden,15,0.44347004826266945,0.8135862637661625,0.7513359508750486,0.9340120719461199,0.9339094436607632,0.926102184586921,0.413360814730788
swap_cluster_local_sudden,5,0.9162162820582584,0.9731887434544015,0.9264077672341262,0.9760572454698807,0.9776166947815204,0.9517343418403439,0.9892914135981014
