id,n_class,ARF,EFHT,HT,OneVsAll_CIDDM,OneVsAll_CIDDM-mod,OneVsAll_Dummy,OneVsAll_swap,SRP
swap_cluster_global_gradual,10,0.5328089713879439,0.5346511986659854,0.34314298567327045,0.8582813977506771,0.8555901869449516,0.9112458716952646,0.5649098100885003,0.6963358417303773
swap_cluster_global_gradual,15,0.42302812380459365,0.6919205494687192,0.40281930909268376,0.7640949337996961,0.6994001870994788,0.9046788457278573,0.47322728159334476,0.40523938615095806
swap_cluster_global_gradual,5,0.898971410190768,0.8114717178238038,0.6401381467525378,0.7932756107538746,0.8501680362580669,0.7536818872812645,0.6122733503062033,0.9463545443069495
swap_cluster_global_sudden,10,0.5703894247820341,0.627424080354453,0.3948607229471362,0.8476103619367388,0.8337117757937063,0.9272967695407306,0.5372677298796845,0.7124214810534155
swap_cluster_global_sudden,15,0.4261705639161997,0.7543552282447746,0.39781922472800674,0.7538488059955303,0.7452770471608301,0.8781977578985262,0.4895362210543259,0.44128823487030255
swap_cluster_global_sudden,5,0.9286785326181007,0.865332061917346,0.5433114485084316,0.9269152401529961,0.927031004859925,0.7552538757541982,0.7668732460619745,0.9725981999323661
swap_cluster_local_gradual,10,0.5525813324725575,0.8377160232731824,0.7572488511369477,0.8643251489143107,0.8622991691093315,0.9131476082008858,0.7794335090156104,0.7379907906169333
swap_cluster_local_gradual,15,0.5421577144061464,0.7529409798131904,0.833046438527977,0.8753240049189825,0.8534051928985295,0.879654359667424,0.7935217832861671,0.5809874473331991
swap_cluster_local_gradual,5,0.9213453896235414,0.8993096792492812,0.7271044849783128,0.9270281138938778,0.9052753325231786,0.8954437636863883,0.7941952810000846,0.9694083827011328
swap_cluster_local_sudden,10,0.590988902435159,0.8357316594353692,0.7440998909397242,0.8904158145986553,0.8931650123127103,0.888582812509959,0.8173190268561034,0.7645336156430392
swap_cluster_local_sudden,15,0.5648726588130288,0.732671595984932,0.8209951891339471,0.8766418995607277,0.8547060784470359,0.9090984083355363,0.8090810801559059,0.5852499373042623
swap_cluster_local_sudden,5,0.9376867146719176,0.9397069421111873,0.7848344321919148,0.9120673074363624,0.9487740368132987,0.922635531001788,0.7896824649936879,0.9811408239906734
