,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,drifts_alerts,local_alerts
0,500,0.5953177257525084,0.5684770817164613,0.5691073900760547,56,0.5675129890441895,0.6923076923076923,0.1193182219948374,0.8070175438596491,0.20030992915848328,0.4,0.16899161966302995,0.3673469387755102,0.12305402756287054,0.74,0.1870476856481377,0.5555555555555556,0.1946416644146466,0,0
1,1000,0.644,0.5910226855933504,0.5723723723723724,56,1.157118797302246,0.7625,0.17680990258429657,0.8817204301075269,0.16471426088696586,0.3372093023255814,0.20344220607259553,0.3048780487804878,0.14482543766992256,0.8292682926829268,0.1675799827431598,0.7435897435897436,0.1425846027224429,0,0
2,1500,0.608,0.5716854533383049,0.5274238814894827,56,1.772223949432373,0.6052631578947368,0.14183055723885749,0.8552631578947368,0.1412396884221392,0.3875,0.18299733962993237,0.3218390804597701,0.17445008496333037,0.7766990291262136,0.22126679864224355,0.6962025316455697,0.13821524458233653,0,0
3,2000,0.596,0.5479573197343428,0.514891859309033,56,2.3778865337371826,0.7283950617283951,0.134636185359683,0.8105263157894737,0.22524168385600962,0.38461538461538464,0.17340398644347457,0.2345679012345679,0.16185718983494674,0.7671232876712328,0.11288299427932272,0.6625,0.19197795834398096,0,0
4,2500,0.616,0.5788716451744816,0.5383261437248424,56,2.9809908866882324,0.6973684210526315,0.15444603270597965,0.75,0.1652050091103602,0.37373737373737376,0.17014684647543882,0.2948717948717949,0.1551248858685848,0.8255813953488372,0.1741829857395779,0.7906976744186046,0.1808942400876892,0,0
5,3000,0.612,0.5750411439233617,0.5333262770983479,56,3.675914764404297,0.7560975609756098,0.13634232800620932,0.7808219178082192,0.14204727895119396,0.3684210526315789,0.1354128128729428,0.29473684210526313,0.206813057050486,0.7755102040816326,0.21014251441679144,0.7272727272727273,0.16924200870229514,0,0
6,3500,0.584,0.5358341849349942,0.500485105810703,56,4.394204616546631,0.5769230769230769,0.1213335670620988,0.8,0.18939885442502816,0.2976190476190476,0.19245329255793323,0.2840909090909091,0.13085092468766504,0.8470588235294118,0.21129967426279025,0.7160493827160493,0.15466368700448377,0,0
7,4000,0.632,0.5856006301385461,0.5597601649942339,56,5.374543905258179,0.7466666666666667,0.14687891737765463,0.8125,0.17254064485328158,0.36046511627906974,0.1708445426779898,0.2553191489361702,0.2043651471195293,0.9090909090909091,0.1297803141261372,0.7945205479452054,0.1755904338454076,0,0
8,4500,0.616,0.5885504583362459,0.5397868637912934,56,6.3350160121917725,0.618421052631579,0.11662439538508418,0.8243243243243243,0.11798007346339164,0.4065934065934066,0.1963969317039147,0.2916666666666667,0.23013797153113266,0.825,0.17117140612620563,0.8333333333333334,0.16768922179027107,0,0
9,5000,0.616,0.5610998394468322,0.5373806104648361,56,7.233818769454956,0.6805555555555556,0.13218150185500818,0.8645833333333334,0.19399273084576515,0.3684210526315789,0.19046660585175854,0.23404255319148937,0.1935820694340544,0.8611111111111112,0.10836113261242959,0.7142857142857143,0.18141595940098398,0,0
