,idx,accuracy,gmean,kappa,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,drifts_alerts,local_alerts
280,140500,0.994,0.9943832153458627,0.9933198542837548,0.9846153846153847,0.15146913151059313,1.0,0.09311488513965421,1.0,0.0885506698628528,1.0,0.10777117414582314,0.96,0.06403818505390634,1.0,0.10190849421485437,1.0,0.10811787853939187,1.0,0.11513969709395598,1.0,0.07693336971788187,1.0,0.0929565147210863,0,0
281,141000,0.986,0.9868450273824428,0.9844209026974095,0.9830508474576272,0.11353014556179053,1.0,0.0990204586446932,1.0,0.07517623182866688,0.9814814814814815,0.08600601802582113,0.9777777777777777,0.11335803843754416,1.0,0.11006998516392669,1.0,0.13872098319330156,1.0,0.07294497647360373,0.9791666666666666,0.07955574285545836,0.9482758620689655,0.1116174198151939,0,0
282,141500,0.994,0.9941235193059464,0.9933210440543934,1.0,0.09228680640356864,1.0,0.07496664888875088,1.0,0.0878684413603597,1.0,0.11228844682084115,0.9824561403508771,0.12529705146461328,1.0,0.08144382922129126,0.9795918367346939,0.12188234722391336,1.0,0.08196426512721688,0.9795918367346939,0.10898389337321845,1.0,0.11301827011622655,0,0
283,142000,0.988,0.9875221794095318,0.9866278577382358,1.0,0.13221567829278993,1.0,0.0812734220434253,1.0,0.12149009509724193,1.0,0.09174145133073143,1.0,0.08127091528866578,1.0,0.07723217612412435,1.0,0.10858239475597055,0.98,0.10116523862210629,1.0,0.11962223023247644,0.9,0.08540639821246794,0,0
284,142500,0.996,0.9958828869928287,0.9955511660393811,0.98,0.08441898721248016,1.0,0.11652073010921667,1.0,0.08105605281696171,1.0,0.10196452236934647,1.0,0.10361037240512101,1.0,0.12755628275734984,0.9791666666666666,0.09773542452984646,1.0,0.08746333243769373,1.0,0.08591184399340285,1.0,0.11376245136858115,0,0
285,143000,0.994,0.9946006775449274,0.9933204194776568,0.9811320754716981,0.11220500049918176,1.0,0.09510668139487788,1.0,0.07082766330103295,0.9655172413793104,0.1298590749619083,1.0,0.06378835695761104,1.0,0.09648231420060932,1.0,0.10167073165510945,1.0,0.11753837562396434,1.0,0.11764496214405191,1.0,0.09487683926165325,0,0
286,143500,0.98,0.980297575867222,0.9777141889301919,0.9666666666666667,0.1287978181139506,0.9814814814814815,0.0858758615116064,1.0,0.05287432033051316,1.0,0.05588948099752602,0.9607843137254902,0.11541826474043182,1.0,0.11529348813712002,0.9824561403508771,0.13454311541029357,0.9818181818181818,0.1291733898354641,0.9824561403508771,0.12670449774039547,0.9487179487179487,0.0554297631826988,0,0
287,144000,0.99,0.9896158963607371,0.9888641921416831,1.0,0.09104949038578473,0.9767441860465116,0.08169089643285962,1.0,0.12877695221533147,1.0,0.10881796698362144,0.9803921568627451,0.12478146776590195,0.9782608695652174,0.07488199537754636,1.0,0.09945561901852029,0.9821428571428571,0.12279691181241974,0.9791666666666666,0.08258738047738699,1.0,0.08516131953062737,0,0
288,144500,0.988,0.9874409956345072,0.9866395895681915,1.0,0.1473207368471934,0.975609756097561,0.08402254688170424,0.9795918367346939,0.08361774492612215,1.0,0.1266099660285677,0.9629629629629629,0.06808085806504553,0.9767441860465116,0.08209082631745207,1.0,0.09866122181848481,0.9803921568627451,0.10045914999802784,1.0,0.08991925623664448,1.0,0.1192176928807578,0,0
289,145000,0.988,0.987966671876666,0.9866348278565827,1.0,0.09548276517688158,1.0,0.1272367043791455,0.975609756097561,0.088863520891144,1.0,0.10845805226963569,0.9661016949152542,0.11517989749673786,1.0,0.10477281135869697,1.0,0.08235070358703064,0.98,0.08882604527236092,0.9772727272727273,0.08384099991919998,0.9814814814814815,0.10498849964916683,0,0
290,145500,0.992,0.9914684308781214,0.9910949236612331,1.0,0.09844891961917904,1.0,0.10891242475268437,0.9803921568627451,0.09533634324061796,1.0,0.11541310887839108,1.0,0.11739212602990522,0.9782608695652174,0.07992482136235415,1.0,0.11918784392093096,0.9803921568627451,0.10537499477427842,1.0,0.07697923715009573,0.9761904761904762,0.08303018027156299,0,0
291,146000,0.982,0.9829844708745293,0.9799513486059505,0.9795918367346939,0.09202811604945864,0.9482758620689655,0.10802609004409086,1.0,0.07680844611502904,1.0,0.12296214910389137,1.0,0.08102038416959709,0.9767441860465116,0.09729670669511774,0.9841269841269841,0.10470691802209117,0.9795918367346939,0.10093731954369405,1.0,0.11661893162912265,0.9629629629629629,0.09959493862790751,0,0
292,146500,0.978,0.9770919994621489,0.9754921619477939,0.9375,0.06335374355660026,1.0,0.12646416417436096,1.0,0.13879905271981127,1.0,0.07194544037584712,0.9591836734693877,0.07254699087887906,0.9761904761904762,0.07213814555827126,0.9848484848484849,0.14429383355907033,0.9787234042553191,0.11196241860459256,0.9591836734693877,0.11305299688371466,0.9772727272727273,0.08544321368885271,0,0
293,147000,0.994,0.9936789193475903,0.993315448444282,1.0,0.12666266616693528,0.9795918367346939,0.10187737288681867,1.0,0.0936277440849951,1.0,0.11816552213015293,1.0,0.11200804283010128,0.9803921568627451,0.08312468780445825,0.9772727272727273,0.08046748224738019,1.0,0.08106306341381474,1.0,0.08861003397504284,1.0,0.11439338446030071,0,0
294,147500,0.982,0.9812182867425446,0.9799575991876147,0.9375,0.12409034389239255,1.0,0.09729534677684619,1.0,0.10243584222881524,1.0,0.07696399703144627,0.9767441860465116,0.11333937046794915,0.9777777777777777,0.11031738667115461,0.9782608695652174,0.06755257595548841,0.96,0.09092489667748134,0.9838709677419355,0.11734579414579534,1.0,0.09973444615263075,0,0
295,148000,0.994,0.9937761548069789,0.9933225009459791,1.0,0.08283005537305899,0.975609756097561,0.08208533115346273,0.9811320754716981,0.13350437449507432,1.0,0.07918430431358639,0.9814814814814815,0.09325472095519437,1.0,0.12151893258665102,1.0,0.12209783262052926,1.0,0.12961251067262985,1.0,0.07867747178525139,1.0,0.07723446604456152,0,0
296,148500,0.984,0.9844320890153264,0.9821875473143274,0.98,0.07962072535733204,0.9772727272727273,0.08443650579193325,0.9767441860465116,0.07925082400140204,0.9833333333333333,0.1645539646767656,0.9795918367346939,0.07556605096292168,0.9672131147540983,0.14030039766513572,1.0,0.08405225526206933,1.0,0.09360718701884978,0.9807692307692307,0.12616986546749273,1.0,0.07244222379609788,0,0
