,idx,accuracy,gmean,kappa,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,drifts_alerts,local_alerts
0,500,0.842809364548495,0.8426005360775706,0.8306514968072835,0.9215686274509803,0.15370886858542177,0.8548387096774194,0.21034896647915746,0.8688524590163934,0.23334557188141802,0.7333333333333333,0.2197488464054971,0.8461538461538461,0.1762108950905109,0,0
1,1000,0.77,0.7698566600505582,0.7113700136032568,0.8426966292134831,0.17226521645631415,0.8023255813953488,0.15206922318683969,0.7102803738317757,0.22667482509335454,0.8407079646017699,0.19707165822235237,0.6698113207547169,0.2518754697205222,0,0
2,1500,0.868,0.8669388695054546,0.8347347492725825,0.8952380952380953,0.18818976275716703,0.89,0.20897886794664075,0.7878787878787878,0.18456512820121035,0.883495145631068,0.20483193950820228,0.8829787234042553,0.21343401506561901,0,0
3,2000,0.906,0.9064043427061181,0.882304036220307,0.9456521739130435,0.19507595132134437,0.95,0.20514209920538823,0.8557692307692307,0.21906557965517867,0.9,0.20038799540031166,0.8842105263157894,0.18032837253519482,0,0
4,2500,0.824,0.8220589130629335,0.7798084333370031,0.8854166666666666,0.19564496027693107,0.9108910891089109,0.21192594009868762,0.7547169811320755,0.18725605122686284,0.7473684210526316,0.19880194385090255,0.8252427184466019,0.20637110453424665,0,0
5,3000,0.952,0.9502271114849918,0.9398478149718787,0.9537037037037037,0.21933101495307541,0.99,0.2043610383329957,0.9010989010989011,0.13778723391211653,0.9368421052631579,0.1593878507388465,0.9719626168224299,0.2791328620628842,0,0
6,3500,0.948,0.9410253990681103,0.9346415086750828,0.9541284403669725,0.2381417783739029,0.9903846153846154,0.19547114374394295,0.8441558441558441,0.1396062301755452,0.9339622641509434,0.22691125231476617,0.9904761904761905,0.19986959539184224,0,0
7,4000,0.924,0.9235497260023411,0.9047165316817533,0.9789473684210527,0.22519343582788703,0.8804347826086957,0.18832505818130996,0.8839285714285714,0.23679498145247294,0.9545454545454546,0.18842020815519797,0.9239130434782609,0.16126631638313219,0,0
8,4500,0.95,0.9490335067753743,0.9373097350458641,1.0,0.2390186834811272,0.9469026548672567,0.22364947159968268,0.9120879120879121,0.15101291931395672,0.9333333333333333,0.22335971754169168,0.9550561797752809,0.16295920806354172,0,0
9,5000,0.92,0.9185761491211423,0.8998277036502785,1.0,0.1796320609200644,0.9711538461538461,0.18295639763478763,0.8571428571428571,0.23534153091438068,0.8217821782178217,0.23491915654895532,0.9560439560439561,0.16715085398181204,0,0
10,5500,0.956,0.9558718446143695,0.9447380583968008,0.9591836734693877,0.19777669417397042,0.9534883720930233,0.15383637552908308,0.944954128440367,0.19419167698362233,0.9658119658119658,0.2422582526394298,0.9560439560439561,0.21193700067389454,0,0
11,6000,0.938,0.9372491190578648,0.9222656308770943,0.9734513274336283,0.22506988690809257,0.9523809523809523,0.17396962194208357,0.883495145631068,0.22918325122171956,0.98,0.14773510488587416,0.900990099009901,0.22404213504222995,0,0
12,6500,0.938,0.9373666267302153,0.9223602484472049,1.0,0.1642868941904552,0.9591836734693877,0.1727828805286267,0.8842105263157894,0.16160449953544928,0.9278350515463918,0.2160221923571871,0.9196428571428571,0.2853035333882815,0,0
13,7000,0.958,0.9568790844891112,0.9473034418380559,0.963302752293578,0.19599687289098258,0.9425287356321839,0.1748163123587198,0.9247311827956989,0.18706351453045028,0.9655172413793104,0.27846589234750385,0.9895833333333334,0.1636574078723435,0,0
14,7500,0.982,0.9822476026752575,0.9774446265582004,0.9902912621359223,0.22961835339198683,0.9809523809523809,0.20784603580619382,0.9636363636363636,0.16884172177841586,1.0,0.20492454051089073,0.9767441860465116,0.1887693485125127,0,0
15,8000,0.95,0.9494903463284085,0.9373367622657021,0.9896907216494846,0.20795743481206014,0.944954128440367,0.19845138685051641,0.9139784946236559,0.1576640728395446,0.9541284403669725,0.24490966367025244,0.946236559139785,0.19101744182762645,0,0
16,8500,0.94,0.9390076381728082,0.9247010632209872,0.9578947368421052,0.16710353398937935,0.9411764705882353,0.20182437592844651,0.8958333333333334,0.1927595388526905,0.9285714285714286,0.21543517677333976,0.9734513274336283,0.22287737445614375,0,0
17,9000,0.934,0.9299389527268159,0.9169175923221785,0.975609756097561,0.2504790372464767,0.9473684210526315,0.166447725650589,0.8860759493670886,0.16119177449312508,0.9117647058823529,0.2074668460184126,0.9313725490196079,0.21441461659139688,0,0
18,9500,0.9,0.8991239933158681,0.8747043021530815,0.9339622641509434,0.23885396902723205,0.8877551020408163,0.20693736200373175,0.8709677419354839,0.15772681806893793,0.9032258064516129,0.1743449990365649,0.9009009009009009,0.2221368518635334,0,0
19,10000,0.874,0.8700013165409533,0.8422136177161548,0.9607843137254902,0.1997934979313426,0.9245283018867925,0.21887904697329102,0.7326732673267327,0.17440911633655834,0.8673469387755102,0.19928217715092572,0.8829787234042553,0.2076361616078824,0,0
20,10500,0.834,0.8326125444726051,0.7923546482537778,0.925531914893617,0.16812136480605006,0.8773584905660378,0.24635176889826182,0.7425742574257426,0.19460651040125707,0.84,0.2005276317075375,0.79,0.1903927241868936,0,0
21,11000,0.904,0.9020945763385054,0.8797318019182778,0.941747572815534,0.20541504601369,0.8952380952380953,0.1946274183774087,0.8947368421052632,0.17555979381743345,0.9423076923076923,0.21424693544848294,0.8404255319148937,0.21015080634298475,0,0
22,11500,0.92,0.9203690130450404,0.8995605775266793,0.9195402298850575,0.1847579056061367,0.9159663865546218,0.1989688804524958,0.8910891089108911,0.22834424971198525,0.9405940594059405,0.21461753241176326,0.9354838709677419,0.17331143181761918,0,0
23,12000,0.886,0.885129324425281,0.857218005560983,0.9081632653061225,0.17584159771947494,0.9345794392523364,0.1929739283140963,0.8651685393258427,0.17636760706858712,0.8811881188118812,0.20668765176719767,0.839622641509434,0.24812921513064398,0,0
24,12500,0.852,0.8501039026850293,0.8137005614158757,0.8863636363636364,0.21352982620332273,0.8315789473684211,0.19057093736309882,0.8469387755102041,0.17895492955252035,0.8064516129032258,0.17980120903967145,0.8818897637795275,0.23714309784138676,0,0
25,13000,0.87,0.8626108933459951,0.8367293625914316,0.940677966101695,0.22864048975359444,0.8681318681318682,0.20438143258659863,0.7472527472527473,0.19680062572154053,0.8415841584158416,0.19754933997121882,0.93,0.17262811196704753,0,0
26,13500,0.91,0.9101342679680168,0.8873693484441953,0.9405940594059405,0.16221054220220393,0.9157894736842105,0.21775283255447414,0.8823529411764706,0.2161651720773457,0.9029126213592233,0.21104178100570092,0.91,0.1928296721602751,0,0
27,14000,0.912,0.9040710790485182,0.8893988829287176,0.9444444444444444,0.25574800680548704,0.9158878504672897,0.18585906615790876,0.9523809523809523,0.19629635842335694,0.7948717948717948,0.1697750438699126,0.9223300970873787,0.19232152474333444,0,0
28,14500,0.98,0.9793527572504002,0.9749389764075523,0.978021978021978,0.1994556368765188,0.9803921568627451,0.18653783809717198,0.9574468085106383,0.17923819970287272,0.9902912621359223,0.2173374225950978,0.990990990990991,0.21743090272833884,0,0
29,15000,0.952,0.9532063486889522,0.9398652982681205,0.9629629629629629,0.18433093214831844,1.0,0.13481338890945366,0.9150943396226415,0.23263998041743333,0.9238095238095239,0.23061042057125947,0.9666666666666667,0.21760527795353501,0,0
30,15500,0.996,0.9960214877238356,0.9949828664890601,0.9896907216494846,0.1850248332930883,1.0,0.20085174948404272,0.9904761904761905,0.2195398671659729,1.0,0.20165019871399575,1.0,0.19293335134290035,0,0
31,16000,0.966,0.9658458159400255,0.9574015976906654,0.9734513274336283,0.2356757372405484,0.9782608695652174,0.1791243151805351,0.970873786407767,0.23897490927073728,0.9494949494949495,0.18791629817430847,0.9574468085106383,0.15830874013387092,0,0
32,16500,0.92,0.917000019282101,0.8997317825182364,0.9705882352941176,0.2066793366495342,0.8210526315789474,0.20819289094459545,0.9285714285714286,0.1812358657300078,0.9459459459459459,0.2486793479329299,0.9263157894736842,0.15521255874293274,0,0
33,17000,0.918,0.9073069417555617,0.8968532700029184,0.9910714285714286,0.2601922413886334,0.7682926829268293,0.17356778893675898,0.9433962264150944,0.17043915675818008,0.9230769230769231,0.18360911185580592,0.9272727272727272,0.21219170106062132,0,0
34,17500,0.734,0.7206954688017008,0.6658828731058322,0.9509803921568627,0.1673333885852532,0.7368421052631579,0.2704153888212256,0.5869565217391305,0.1581693294042798,0.6744186046511628,0.13960418157918095,0.7009345794392523,0.2644777116100601,0,0
35,18000,0.804,0.7955040757879244,0.7544831871088642,0.9405940594059405,0.1960305288645661,0.7912087912087912,0.2067665814009492,0.631578947368421,0.2168432760599397,0.7767857142857143,0.17363743845235363,0.8725490196078431,0.20672217522219163,0,0
36,18500,0.89,0.8848205851970559,0.861904809729936,0.9821428571428571,0.20064320389542023,0.9259259259259259,0.16694642351083586,0.7865168539325843,0.20999365913517803,0.8333333333333334,0.21514832651936094,0.9099099099099099,0.20726838693920507,0,0
37,19000,0.956,0.9555621608862221,0.944707502689226,0.9886363636363636,0.16326281729937356,0.9897959183673469,0.2031036816961254,0.96,0.21354470457769076,0.9368421052631579,0.20755043213290317,0.9052631578947369,0.21253836429390693,0,0
38,19500,0.982,0.9819637109058329,0.9773697629859843,0.9917355371900827,0.2383441134657067,1.0,0.18967344961655888,1.0,0.18281699752715716,0.9574468085106383,0.16712762290546468,0.9615384615384616,0.22203781648511256,0,0
