,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,drifts_alerts,local_alerts
0,500,0.5384615384615384,0.5126945983910445,0.5028989277529871,56,1.7073020935058594,0.7254901960784313,0.15370886858542177,0.532258064516129,0.21034896647915746,0.26229508196721313,0.23334557188141802,0.5166666666666667,0.2197488464054971,0.676923076923077,0.1762108950905109,0,0
1,1000,0.582,0.5421282628074707,0.4774399055891427,56,3.5812466144561768,0.7191011235955056,0.17226521645631415,0.6627906976744186,0.15206922318683969,0.21495327102803738,0.22667482509335454,0.6637168141592921,0.19707165822235237,0.6886792452830188,0.2518754697205222,0,0
2,1500,0.622,0.6215191483533887,0.5264582080577269,56,5.401865005493164,0.6571428571428571,0.18818976275716703,0.61,0.20897886794664075,0.5656565656565656,0.18456512820121035,0.6407766990291263,0.20483193950820228,0.6382978723404256,0.21343401506561901,0,0
3,2000,0.594,0.5879652635248191,0.4914167176085061,56,7.310079097747803,0.6086956521739131,0.19507595132134437,0.63,0.20514209920538823,0.4230769230769231,0.21906557965517867,0.6636363636363637,0.20038799540031166,0.6526315789473685,0.18032837253519482,0,0
4,2500,0.61,0.6072164292350094,0.512446369100601,56,9.186376333236694,0.7395833333333334,0.19564496027693107,0.6237623762376238,0.21192594009868762,0.4716981132075472,0.18725605122686284,0.6105263157894737,0.19880194385090255,0.6213592233009708,0.20637110453424665,0,0
5,3000,0.582,0.5694635630006557,0.47661548016147287,56,11.001553058624268,0.6759259259259259,0.21933101495307541,0.67,0.2043610383329957,0.4065934065934066,0.13778723391211653,0.6,0.1593878507388465,0.5420560747663551,0.2791328620628842,0,0
6,3500,0.554,0.5230481105524183,0.43968159844015403,56,12.823293209075928,0.6697247706422018,0.2381417783739029,0.5192307692307693,0.19547114374394295,0.3116883116883117,0.1396062301755452,0.6320754716981132,0.22691125231476617,0.5714285714285714,0.19986959539184224,0,0
7,4000,0.522,0.5137343616969868,0.4024432321070502,56,14.616629123687744,0.7052631578947368,0.22519343582788703,0.5108695652173914,0.18832505818130996,0.32142857142857145,0.23679498145247294,0.5363636363636364,0.18842020815519797,0.5760869565217391,0.16126631638313219,0,0
8,4500,0.546,0.5363690395653589,0.4301493661353082,56,16.502795219421387,0.6699029126213593,0.2390186834811272,0.504424778761062,0.22364947159968268,0.38461538461538464,0.15101291931395672,0.5428571428571428,0.22335971754169168,0.6292134831460674,0.16295920806354172,0,0
9,5000,0.57,0.5645533171213303,0.4614983869998196,56,18.45249104499817,0.75,0.1796320609200644,0.5288461538461539,0.18295639763478763,0.45714285714285713,0.23534153091438068,0.5643564356435643,0.23491915654895532,0.5604395604395604,0.16715085398181204,0,0
10,5500,0.592,0.580965724503805,0.48918269230769224,56,20.3235981464386,0.7755102040816326,0.19777669417397042,0.6046511627906976,0.15383637552908308,0.3853211009174312,0.19419167698362233,0.6410256410256411,0.2422582526394298,0.5714285714285714,0.21193700067389454,0,0
11,6000,0.502,0.49155429270202045,0.3766241569405014,56,22.112980842590332,0.6548672566371682,0.22506988690809257,0.5476190476190477,0.17396962194208357,0.3592233009708738,0.22918325122171956,0.5,0.14773510488587416,0.44554455445544555,0.22404213504222995,0,0
12,6500,0.562,0.5594679660836122,0.4523439180166348,56,23.939743041992188,0.6262626262626263,0.1642868941904552,0.5612244897959183,0.1727828805286267,0.4631578947368421,0.16160449953544928,0.6082474226804123,0.2160221923571871,0.5535714285714286,0.2853035333882815,0,0
13,7000,0.59,0.5780991475245008,0.48527639402217576,56,25.900456428527832,0.6605504587155964,0.19599687289098258,0.6666666666666666,0.1748163123587198,0.40860215053763443,0.18706351453045028,0.6379310344827587,0.27846589234750385,0.5625,0.1636574078723435,0,0
14,7500,0.546,0.5418028976432064,0.43087800230657375,56,27.667942762374878,0.7087378640776699,0.22961835339198683,0.5047619047619047,0.20784603580619382,0.42727272727272725,0.16884172177841586,0.5360824742268041,0.20492454051089073,0.5697674418604651,0.1887693485125127,0,0
15,8000,0.544,0.5389889646856231,0.42841958013908465,56,29.579577445983887,0.6391752577319587,0.20795743481206014,0.5321100917431193,0.19845138685051641,0.41935483870967744,0.1576640728395446,0.5596330275229358,0.24490966367025244,0.5698924731182796,0.19101744182762645,0,0
16,8500,0.602,0.5926423337174715,0.5027436556087517,56,31.36025834083557,0.7894736842105263,0.16710353398937935,0.6470588235294118,0.20182437592844651,0.4166666666666667,0.1927595388526905,0.6160714285714286,0.21543517677333976,0.5575221238938053,0.22287737445614375,0,0
17,9000,0.566,0.5330573404805746,0.45288508569786134,56,33.30264115333557,0.7154471544715447,0.2504790372464767,0.6421052631578947,0.166447725650589,0.34177215189873417,0.16119177449312508,0.6078431372549019,0.2074668460184126,0.45098039215686275,0.21441461659139688,0,0
18,9500,0.56,0.541945417991927,0.4494136255111694,56,35.15160655975342,0.6886792452830188,0.23885396902723205,0.673469387755102,0.20693736200373175,0.34408602150537637,0.15772681806893793,0.6021505376344086,0.1743449990365649,0.4864864864864865,0.2221368518635334,0,0
19,10000,0.52,0.503067291744468,0.39870119458029346,56,36.987789154052734,0.6470588235294118,0.1997934979313426,0.5283018867924528,0.21887904697329102,0.2871287128712871,0.17440911633655834,0.5714285714285714,0.19928217715092572,0.574468085106383,0.2076361616078824,0,0
20,10500,0.54,0.5214991963578044,0.4245396317053643,56,38.83888816833496,0.7553191489361702,0.16812136480605006,0.6320754716981132,0.24635176889826182,0.31683168316831684,0.19460651040125707,0.5,0.2005276317075375,0.51,0.1903927241868936,0,0
21,11000,0.538,0.52516780608377,0.42076519174928917,56,40.6833291053772,0.6407766990291263,0.20541504601369,0.6095238095238096,0.1946274183774087,0.3684210526315789,0.17555979381743345,0.5673076923076923,0.21424693544848294,0.48936170212765956,0.21015080634298475,0,0
22,11500,0.534,0.5196240658674608,0.4159434893992491,56,42.51900005340576,0.6896551724137931,0.1847579056061367,0.5546218487394958,0.1989688804524958,0.297029702970297,0.22834424971198525,0.5742574257425742,0.21461753241176326,0.5806451612903226,0.17331143181761918,0,0
23,12000,0.556,0.5286324413817869,0.4433941922446258,56,44.26461744308472,0.8163265306122449,0.17584159771947494,0.5887850467289719,0.1929739283140963,0.33707865168539325,0.17636760706858712,0.6138613861386139,0.20668765176719767,0.41509433962264153,0.24812921513064398,0,0
24,12500,0.544,0.5352181417995205,0.43145263850861054,56,46.25063705444336,0.7386363636363636,0.21352982620332273,0.5894736842105263,0.19057093736309882,0.336734693877551,0.17895492955252035,0.6236559139784946,0.17980120903967145,0.48031496062992124,0.23714309784138676,0,0
25,13000,0.566,0.5350009190529418,0.4557229353840288,56,48.111806869506836,0.6694915254237288,0.22864048975359444,0.7142857142857143,0.20438143258659863,0.2857142857142857,0.19680062572154053,0.594059405940594,0.19754933997121882,0.54,0.17262811196704753,0,0
26,13500,0.546,0.5368467900727996,0.4321365674031381,56,49.984872579574585,0.6831683168316832,0.16221054220220393,0.6105263157894737,0.21775283255447414,0.38235294117647056,0.2161651720773457,0.46601941747572817,0.21104178100570092,0.6,0.1928296721602751,0,0
27,14000,0.546,0.5356837007142666,0.4312116944880154,56,51.90527701377869,0.7129629629629629,0.25574800680548704,0.5887850467289719,0.18585906615790876,0.3904761904761905,0.19629635842335694,0.5897435897435898,0.1697750438699126,0.4563106796116505,0.19232152474333444,0,0
28,14500,0.566,0.5647654820821529,0.4569950053549801,56,53.77517795562744,0.7362637362637363,0.1994556368765188,0.5196078431372549,0.18653783809717198,0.5212765957446809,0.17923819970287272,0.5242718446601942,0.2173374225950978,0.5495495495495496,0.21743090272833884,0,0
