,idx,accuracy,gmean,kappa,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,drifts_alerts,local_alerts
0,500,0.8260869565217391,0.8222215147039597,0.8127285063356755,0.9411764705882353,0.15370886858542177,0.9193548387096774,0.21034896647915746,0.6721311475409836,0.23334557188141802,0.75,0.2197488464054971,0.8615384615384616,0.1762108950905109,0,0
1,1000,0.736,0.7337433673169533,0.6699785486056593,0.8202247191011236,0.17226521645631415,0.8488372093023255,0.15206922318683969,0.5420560747663551,0.22667482509335454,0.7964601769911505,0.19707165822235237,0.7075471698113207,0.2518754697205222,0,0
2,1500,0.92,0.9168255131518757,0.8998337239818097,0.9714285714285714,0.18818976275716703,0.98,0.20897886794664075,0.797979797979798,0.18456512820121035,0.9320388349514563,0.20483193950820228,0.9148936170212766,0.21343401506561901,0,0
3,2000,0.908,0.9084233199665571,0.8847608788235588,0.9130434782608695,0.19507595132134437,0.93,0.20514209920538823,0.8942307692307693,0.21906557965517867,0.9,0.20038799540031166,0.9052631578947369,0.18032837253519482,0,0
4,2500,0.886,0.8868274879021996,0.8573894768445546,0.9375,0.19564496027693107,0.8811881188118812,0.21192594009868762,0.8584905660377359,0.18725605122686284,0.9052631578947369,0.19880194385090255,0.8543689320388349,0.20637110453424665,0,0
5,3000,0.878,0.8753283027697142,0.8470702674515388,0.9074074074074074,0.21933101495307541,0.9,0.2043610383329957,0.7912087912087912,0.13778723391211653,0.9052631578947369,0.1593878507388465,0.8785046728971962,0.2791328620628842,0,0
6,3500,0.794,0.7600453928702824,0.7401850487846715,0.926605504587156,0.2381417783739029,0.7980769230769231,0.19547114374394295,0.4935064935064935,0.1396062301755452,0.8018867924528302,0.22691125231476617,0.8666666666666667,0.19986959539184224,0,0
7,4000,0.874,0.872629245864093,0.8420886409095694,0.968421052631579,0.22519343582788703,0.8260869565217391,0.18832505818130996,0.8125,0.23679498145247294,0.9181818181818182,0.18842020815519797,0.8478260869565217,0.16126631638313219,0,0
8,4500,0.928,0.9230008078620104,0.9096099670076381,0.9514563106796117,0.2390186834811272,0.9469026548672567,0.22364947159968268,0.8791208791208791,0.15101291931395672,0.9904761904761905,0.22335971754169168,0.8539325842696629,0.16295920806354172,0,0
9,5000,0.854,0.8503328102854405,0.8170545277751324,0.91,0.1796320609200644,0.9423076923076923,0.18295639763478763,0.7714285714285715,0.23534153091438068,0.8613861386138614,0.23491915654895532,0.7802197802197802,0.16715085398181204,0,0
