,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,drifts_alerts,local_alerts
0,500,0.5585284280936454,0.491604888904319,0.5410688514793249,56,6.67665433883667,0.20833333333333334,0.08269560209062182,0.4444444444444444,0.07101326649479996,0.8,0.13354970010513642,0.22727272727272727,0.07679926637402108,0.65625,0.13508695157745257,0.6206896551724138,0.09825862030396565,0.6,0.11627055838555798,0.6,0.10347828801993908,0.47058823529411764,0.09653327298407305,0.7096774193548387,0.07967762210643786,0,0
1,1000,0.676,0.6382110630252639,0.6386251695338712,56,14.9951491355896,0.42857142857142855,0.08575451841692353,0.44680851063829785,0.08651069803939072,0.7777777777777778,0.07414321300468486,0.5121951219512195,0.07792601018215486,0.8771929824561403,0.1397305630389091,0.56,0.08694426205444557,0.7704918032786885,0.10716077972230034,0.9038461538461539,0.08991087850005205,0.5416666666666666,0.10436144490073256,0.7931034482758621,0.14751402481978962,0,0
2,1500,0.666,0.6542456575278109,0.6286066299276339,56,24.502243280410767,0.5614035087719298,0.11352605107714817,0.4375,0.0746637116800189,1.0,0.07760863336748408,0.5517241379310345,0.1313702345791566,0.8367346938775511,0.09411641414434883,0.46,0.09044871405686156,0.6862745098039216,0.10464291535619995,0.8846153846153846,0.10018902415200232,0.5087719298245614,0.1105621768721533,0.8918918918918919,0.10287183819346563,0,0
3,2000,0.728,0.7133652505891143,0.6971667275302165,56,33.077513694763184,0.5116279069767442,0.1128737234755232,0.6326530612244898,0.0822022278458211,0.8297872340425532,0.11315113146625126,0.6792452830188679,0.09199096773913695,0.8372093023255814,0.07898133589979886,0.6721311475409836,0.1400842437553798,0.8490566037735849,0.08207032490162638,0.7894736842105263,0.11831767049868519,0.5714285714285714,0.09330127070117016,0.8679245283018868,0.08702710183402462,0,0
4,2500,0.85,0.8486822859823092,0.833075899275772,56,40.664199352264404,0.7777777777777778,0.07501667401951395,0.8823529411764706,0.12062828625741702,0.9069767441860465,0.11009590725983731,0.7931034482758621,0.10183003283885027,0.9090909090909091,0.0925519169462429,0.7647058823529411,0.09470413428061988,0.9,0.08921755263080702,0.9111111111111111,0.10958439122009553,0.7872340425531915,0.10736424864283944,0.875,0.0990068558914072,0,0
5,3000,0.894,0.892789329961858,0.8820870153331376,56,47.96127200126648,0.6785714285714286,0.09537868913164053,0.9038461538461539,0.12395232582143492,0.8867924528301887,0.10965395680557559,0.9148936170212766,0.09470708152742018,1.0,0.05566178869274879,0.9183673469387755,0.0821254452193677,0.8809523809523809,0.06507942602858442,0.9622641509433962,0.0943084247102622,0.875,0.10329001684982597,0.9491525423728814,0.17584284521305849,0,0
6,3500,0.924,0.9176274417194541,0.9150762079292005,56,55.615540742874146,0.8541666666666666,0.11184889864798458,0.9344262295081968,0.12629287972591835,1.0,0.08775518578360776,0.9215686274509803,0.10771595796033519,0.9487179487179487,0.06706756075951653,0.8157894736842105,0.07253866941602873,1.0,0.14175222244075045,0.9523809523809523,0.08515902987401566,0.8923076923076924,0.11903005258878933,0.875,0.0808395428030528,0,0
7,4000,0.918,0.9156356042503131,0.9086660340118778,56,63.43433356285095,0.926829268292683,0.10704440581285511,0.9444444444444444,0.11814903001503188,0.9090909090909091,0.0962039574183572,0.9791666666666666,0.09212110076295262,0.92,0.10985058211965743,0.9032258064516129,0.12694439933281543,0.9629629629629629,0.09689149428673309,0.9285714285714286,0.09152871386846485,0.8292682926829268,0.09522182109708545,0.8627450980392157,0.06604449528604679,0,0
8,4500,0.966,0.9644844544855063,0.962150392077409,56,70.40531849861145,0.8979591836734694,0.10585286415520291,0.9629629629629629,0.1331658193259243,0.9836065573770492,0.12069940843801613,0.9807692307692307,0.10295006316166642,0.9791666666666666,0.09303699333845909,1.0,0.057975925975497555,1.0,0.11236862087721801,0.9787234042553191,0.11099109666447372,0.9148936170212766,0.08963414561593001,0.9523809523809523,0.07332506244761176,0,0
9,5000,0.938,0.936366192365292,0.9309804340662765,56,78.17352652549744,0.88,0.07787376578341873,0.9,0.10175829513664565,1.0,0.09729844562575245,1.0,0.08565795200903513,0.9090909090909091,0.10693882208800819,0.9180327868852459,0.12840270882637253,0.9629629629629629,0.15056647330986922,0.9574468085106383,0.08435268323908617,0.8888888888888888,0.06950445038313405,0.9565217391304348,0.0976464035986779,0,0
10,5500,0.938,0.9320052419345626,0.9308659155582911,56,85.56185698509216,0.8444444444444444,0.0844545607550271,0.9245283018867925,0.11332213341894325,0.9705882352941176,0.08302265992082251,1.0,0.07081371560826055,0.9672131147540983,0.12122319935883362,0.9375,0.07296847762478854,1.0,0.11285278612472402,0.9672131147540983,0.12940546651470583,0.825,0.07839347757775564,0.9019607843137255,0.13354352309613887,0,0
11,6000,0.946,0.9473526813390525,0.9398939462073079,56,93.26239013671875,0.8947368421052632,0.10804324155534717,0.9107142857142857,0.11702664535274546,1.0,0.08269499182777958,0.9333333333333333,0.09127463011430391,0.9830508474576272,0.12239834426837344,0.9772727272727273,0.10678490695334622,0.96,0.07921530786207702,0.98,0.06851979702379728,0.9,0.11651747325006956,0.9411764705882353,0.10752466179216039,0,0
12,6500,0.95,0.9495741232431789,0.9443635861897067,56,101.24917817115784,0.875,0.07207777946030094,1.0,0.09220911473015427,0.9761904761904762,0.07855009587815735,0.9821428571428571,0.0942327846504693,0.9807692307692307,0.11351853193745266,0.9534883720930233,0.04808596759799655,1.0,0.11828060461617808,0.9148936170212766,0.09774158774100901,0.8793103448275862,0.15807785190104853,0.9444444444444444,0.12722568148723326,0,0
13,7000,0.92,0.915350554969639,0.9108424496928523,56,108.59213781356812,0.8823529411764706,0.10091798073803263,0.9137931034482759,0.09507889215295004,0.9333333333333333,0.08578565210331003,0.9761904761904762,0.0890306602554097,0.9807692307692307,0.08334383775453455,0.8048780487804879,0.10371967677591569,0.9841269841269841,0.12266084765607228,0.9433962264150944,0.15580504469143144,0.84,0.0811168857529648,0.9130434782608695,0.08254052211937876,0,0
14,7500,0.91,0.9048645775341522,0.8997915664582332,56,115.978280544281,0.8620689655172413,0.13333274355812813,0.8444444444444444,0.09628560983385864,1.0,0.08731714803008382,0.9508196721311475,0.12052888777611002,0.95,0.07732845403530553,0.76,0.09151326774311037,0.9777777777777777,0.09478895645980788,0.9807692307692307,0.11013558405108301,0.7857142857142857,0.08529407220641554,0.9772727272727273,0.10347527630609728,0,0
15,8000,0.912,0.9091763572190829,0.902086448764509,56,123.2181088924408,0.8936170212765957,0.09447028331571793,0.88,0.11348715149634214,0.8823529411764706,0.07913170600310043,0.8793103448275862,0.11931968084741594,0.9791666666666666,0.08552100088239795,0.8888888888888888,0.07214307195714655,0.9821428571428571,0.1359284392708933,0.9433962264150944,0.10898122439935928,0.8333333333333334,0.07599387694190694,0.9411764705882353,0.11502356488571958,0,0
16,8500,0.924,0.925037727594452,0.9153633362881923,56,131.08546805381775,1.0,0.07980439089411254,0.9245283018867925,0.08729914309526683,0.9166666666666666,0.08713690032813388,0.9795918367346939,0.11468747560031264,0.9318181818181818,0.0861406303139784,0.8846153846153846,0.10661890853871207,0.9655172413793104,0.10270586887794449,0.8888888888888888,0.11272930789539534,0.8679245283018868,0.10679102823881544,0.9,0.11608634621732841,0,0
17,9000,0.92,0.9145293026639774,0.9107114954485185,56,138.34775352478027,0.9056603773584906,0.12326122849936193,0.8857142857142857,0.12721780874711472,0.9534883720930233,0.07396526012621288,0.9038461538461539,0.09248246552437608,0.7575757575757576,0.04976119360461813,0.9565217391304348,0.11143058088850682,0.9772727272727273,0.08595466093276319,0.9827586206896551,0.12151218508564936,0.8867924528301887,0.12035494672950504,0.9591836734693877,0.09405966986189183,0,0
18,9500,0.762,0.7594251167416002,0.7347491931025875,56,145.45924139022827,0.7843137254901961,0.10283447099020139,0.7818181818181819,0.13601949803703073,0.675,0.0751266300044238,0.8103448275862069,0.13181073199930785,0.7454545454545455,0.09527128697073396,0.7894736842105263,0.06245553109820383,0.8490566037735849,0.10435798868149335,0.775,0.06998701035507154,0.631578947368421,0.1096085803649244,0.7777777777777778,0.11252827149860907,0,0
19,10000,0.754,0.7384337081459349,0.7263126977557641,56,152.82255506515503,0.7272727272727273,0.10713236504822854,0.851063829787234,0.09266113288311409,0.9245283018867925,0.10485508148864074,0.6226415094339622,0.11402396548465009,0.8035714285714286,0.09235964855701871,0.5555555555555556,0.08204946777953968,0.9056603773584906,0.10963687833498739,0.7777777777777778,0.08964529881593826,0.5208333333333334,0.10412093065479197,0.8260869565217391,0.10351523095309038,0,0
20,10500,0.856,0.8535640872761487,0.8398277258206603,56,160.63341307640076,0.7450980392156863,0.07729482651685103,0.8372093023255814,0.09082653828919905,0.8571428571428571,0.12223744530580609,0.84,0.12411432359245571,0.9019607843137255,0.1160376859074751,0.92,0.07856882449378193,0.9534883720930233,0.07256640907601532,0.8596491228070176,0.12796122263152215,0.7,0.10290271012436467,0.96,0.08749001406252904,0,0
21,11000,0.856,0.8561709282659911,0.839841264898099,56,168.71380472183228,0.78,0.10229148459581797,0.8301886792452831,0.10312356141787204,0.8260869565217391,0.07648713432528768,0.7627118644067796,0.11814028405212103,0.8,0.10258802240552306,0.84,0.07297177141191037,1.0,0.0846963854651347,0.8947368421052632,0.1295505499833483,0.8627450980392157,0.11960863744608288,1.0,0.09054216889690195,0,0
22,11500,0.794,0.7842869744558777,0.770443867953964,56,176.13521027565002,0.7631578947368421,0.06453974109302806,0.7551020408163265,0.12021816451310864,0.75,0.10608194985148389,0.8888888888888888,0.09288693060101175,0.8928571428571429,0.10480526446728115,0.6444444444444445,0.12353898524470412,0.8490566037735849,0.10087466760754994,0.875,0.11374286480421333,0.7727272727272727,0.07084715655977325,0.6938775510204082,0.10246427525784589,0,0
